Feature,Importance,source_series,group,feat_type
SP500__drawdown12,0.053193517,SP500,Stock Market,drawdown
SP500__mom12,0.044453736,SP500,Stock Market,momentum
DMANEMP__base,0.03416927,DMANEMP,Labor Market,base
IPMANSICS__mom3,0.029989013,IPMANSICS,Output and Income,momentum
T1YFFM__rollstd24,0.0271138,T1YFFM,Interest and Exchange Rates,rolling_stat
TB3SMFFM__lag12,0.026026253,TB3SMFFM,Interest and Exchange Rates,lag
IPFPNSS__mom3,0.022704381,IPFPNSS,Output and Income,momentum
PAYEMS__base,0.02264961,PAYEMS,Labor Market,base
USFIRE__base,0.020781834,USFIRE,Labor Market,base
CPIMEDSL__mom6,0.016558288,CPIMEDSL,Prices,momentum
MANEMP__base,0.015960863,MANEMP,Labor Market,base
SP500__rollmean6,0.013627758,SP500,Stock Market,rolling_stat
SP500__mom6,0.012961982,SP500,Stock Market,momentum
CPIMEDSL__mom12,0.012931238,CPIMEDSL,Prices,momentum
USTPU__base,0.012849109,USTPU,Labor Market,base
AWOTMAN__mom6,0.012570611,AWOTMAN,Labor Market,momentum
T5YFFM__rollstd24,0.01226348,T5YFFM,Interest and Exchange Rates,rolling_stat
SRVPRD__base,0.011542236,SRVPRD,Labor Market,base
TB3SMFFM__rollmean12,0.0104350895,TB3SMFFM,Interest and Exchange Rates,rolling_stat
AWHMAN__rollz24,0.010190497,AWHMAN,Labor Market,rolling_stat
INDPRO__base,0.009639383,INDPRO,Output and Income,base
TB6SMFFM__lag12,0.009556122,TB6SMFFM,Interest and Exchange Rates,lag
USWTRADE__base,0.009103702,USWTRADE,Labor Market,base
IPDMAT__base,0.009081067,IPDMAT,Output and Income,base
USGOVT__rollmean24,0.008965691,USGOVT,Labor Market,rolling_stat
CREDIT_SPREAD_BAA_10Y,0.0086449105,CREDIT_SPREAD_BAA_10Y,Interest and Exchange Rates,spread
WPSID62__base,0.008369569,WPSID62,Prices,base
TB3MS__rollstd6,0.0083038695,TB3MS,Interest and Exchange Rates,rolling_stat
UEMPMEAN__mom12,0.007937576,UEMPMEAN,Labor Market,momentum
USWTRADE__mom12,0.0076816645,USWTRADE,Labor Market,momentum
INDPRO__mom3,0.007321041,INDPRO,Output and Income,momentum
PERMITS__mom6,0.006466434,PERMITS,Housing,momentum
TB3MS__rollstd24,0.0060664047,TB3MS,Interest and Exchange Rates,rolling_stat
USTPU__rollz12,0.0059925443,USTPU,Labor Market,rolling_stat
UEMPMEAN__mom6,0.0059686154,UEMPMEAN,Labor Market,momentum
CUUR0000SA0L2__mom3,0.005907343,CUUR0000SA0L2,Prices,momentum
T1YFFM__mom3,0.0056093466,T1YFFM,Interest and Exchange Rates,momentum
