Feature,Importance,source_series,group,feat_type
TB3SMFFM__lag6,0.020162066,TB3SMFFM,Interest and Exchange Rates,lag
TB6SMFFM__rollmean12,0.019528756,TB6SMFFM,Interest and Exchange Rates,rolling_stat
T1YFFM__lag6,0.019169735,T1YFFM,Interest and Exchange Rates,lag
CPIMEDSL__mom6,0.016952367,CPIMEDSL,Prices,momentum
FEDFUNDS__rollmean6,0.01632391,FEDFUNDS,Interest and Exchange Rates,rolling_stat
CUSR0000SAS__mom12,0.015463443,CUSR0000SAS,Prices,momentum
TB6SMFFM__lag6,0.014958709,TB6SMFFM,Interest and Exchange Rates,lag
CPIMEDSL__mom12,0.013483548,CPIMEDSL,Prices,momentum
TB3MS__rollstd12,0.013448684,TB3MS,Interest and Exchange Rates,rolling_stat
T1YFFM__rollmean24,0.01251242,T1YFFM,Interest and Exchange Rates,rolling_stat
TB6SMFFM__rollmean24,0.01231098,TB6SMFFM,Interest and Exchange Rates,rolling_stat
T5YFFM__lag6,0.012208458,T5YFFM,Interest and Exchange Rates,lag
TB6MS__rollstd12,0.011953439,TB6MS,Interest and Exchange Rates,rolling_stat
GS1__rollstd12,0.011535442,GS1,Interest and Exchange Rates,rolling_stat
TB3SMFFM__rollmean12,0.011336303,TB3SMFFM,Interest and Exchange Rates,rolling_stat
SP500__mom12,0.011060945,SP500,Stock Market,momentum
T5YFFM__rollmean24,0.010942092,T5YFFM,Interest and Exchange Rates,rolling_stat
UEMP5TO14__mom6,0.010879979,UEMP5TO14,Labor Market,momentum
HOUST__drawdown60,0.010450952,HOUST,Housing,drawdown
TB3SMFFM__rollmean6,0.010413992,TB3SMFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__lag6,0.010045657,AAAFFM,Interest and Exchange Rates,lag
USGOOD__mom3,0.009190292,USGOOD,Labor Market,momentum
SP500__drawdown12,0.009134607,SP500,Stock Market,drawdown
CPIAUCSL__mom12,0.009128691,CPIAUCSL,Prices,momentum
PERMIT__rollstd12,0.009098576,PERMIT,Housing,rolling_stat
HOUST__base,0.008760761,HOUST,Housing,base
IPFPNSS__mom3,0.008659756,IPFPNSS,Output and Income,momentum
CPIULFSL__mom12,0.008641055,CPIULFSL,Prices,momentum
T1YFFM__rollmean12,0.008466471,T1YFFM,Interest and Exchange Rates,rolling_stat
PERMITS__rollstd12,0.008271772,PERMITS,Housing,rolling_stat
BAAFFM__mom6,0.008128728,BAAFFM,Interest and Exchange Rates,momentum
AAAFFM__mom12,0.007948512,AAAFFM,Interest and Exchange Rates,momentum
UNRATE__mom3,0.007884994,UNRATE,Labor Market,momentum
CUSR0000SAS__mom6,0.0076848967,CUSR0000SAS,Prices,momentum
BAAFFM__mom12,0.007584628,BAAFFM,Interest and Exchange Rates,momentum
BAAFFM__lag6,0.0075651724,BAAFFM,Interest and Exchange Rates,lag
IPMANSICS__mom3,0.007462118,IPMANSICS,Output and Income,momentum
IPFUELS__rollz24,0.0074133105,IPFUELS,Output and Income,rolling_stat
UNRATE__mom6,0.0072031175,UNRATE,Labor Market,momentum
CUMFNS__mom6,0.006776889,CUMFNS,Output and Income,momentum
IPFUELS__base,0.006559502,IPFUELS,Output and Income,base
IPNMAT__mom12,0.0064129806,IPNMAT,Output and Income,momentum
INDPRO__mom6,0.0058578947,INDPRO,Output and Income,momentum
TB3SMFFM__rollmean24,0.0053437436,TB3SMFFM,Interest and Exchange Rates,rolling_stat
IPMANSICS__mom6,0.005300234,IPMANSICS,Output and Income,momentum
IPFUELS__rollstd12,0.005266861,IPFUELS,Output and Income,rolling_stat
T10YFFM__lag6,0.005123842,T10YFFM,Interest and Exchange Rates,lag
PERMIT__mom12,0.0049956846,PERMIT,Housing,momentum
IPCONGD__mom6,0.0049708383,IPCONGD,Output and Income,momentum
IPCONGD__mom12,0.0048792176,IPCONGD,Output and Income,momentum
UEMP5TO14__rollstd6,0.004839565,UEMP5TO14,Labor Market,rolling_stat
PERMIT__base,0.004723744,PERMIT,Housing,base
CPIMEDSL__mom3,0.004660388,CPIMEDSL,Prices,momentum
TB3MS__rollstd6,0.00463283,TB3MS,Interest and Exchange Rates,rolling_stat
PERMITNE__base,0.0045983912,PERMITNE,Housing,base
IPMAT__mom6,0.004574665,IPMAT,Output and Income,momentum
AAAFFM__mom6,0.004555253,AAAFFM,Interest and Exchange Rates,momentum
PERMITW__rollstd12,0.0044953595,PERMITW,Housing,rolling_stat
IPFINAL__mom3,0.004481341,IPFINAL,Output and Income,momentum
T10YFFM__lag9,0.0044769635,T10YFFM,Interest and Exchange Rates,lag
CES3000000008__rollstd12,0.0044489177,CES3000000008,Prices,rolling_stat
HOUSTW__base,0.004429845,HOUSTW,Housing,base
BAAFFM__rollmean24,0.0044066366,BAAFFM,Interest and Exchange Rates,rolling_stat
M2REAL__mom12,0.004356299,M2REAL,Money and Credit,momentum
HOUSTMW__base,0.004274882,HOUSTMW,Housing,base
TOTRESNS__base,0.0042634183,TOTRESNS,Money and Credit,base
CUMFNS__rollmean6,0.004150552,CUMFNS,Output and Income,rolling_stat
SP500__rollmean12,0.0041182153,SP500,Stock Market,rolling_stat
PERMITW__mom12,0.004039331,PERMITW,Housing,momentum
USGOOD__base,0.0038839672,USGOOD,Labor Market,base
M2REAL__rollmean12,0.003882183,M2REAL,Money and Credit,rolling_stat
BUSLOANS__base,0.0038565258,BUSLOANS,Money and Credit,base
PAYEMS__base,0.0037430667,PAYEMS,Labor Market,base
T10YFFM__rollmean24,0.0037188332,T10YFFM,Interest and Exchange Rates,rolling_stat
INVEST__mom12,0.0036927888,INVEST,Money and Credit,momentum
TB6SMFFM__rollmean6,0.003673951,TB6SMFFM,Interest and Exchange Rates,rolling_stat
PERMITNE__mom12,0.0035937561,PERMITNE,Housing,momentum
IPCONGD__rollmean12,0.0035072125,IPCONGD,Output and Income,rolling_stat
TB6MS__rollstd6,0.003439757,TB6MS,Interest and Exchange Rates,rolling_stat
IPFPNSS__mom6,0.0034203213,IPFPNSS,Output and Income,momentum
IPNMAT__rollmean12,0.0032877456,IPNMAT,Output and Income,rolling_stat
CUSR0000SAS__rollstd12,0.0032691127,CUSR0000SAS,Prices,rolling_stat
PERMITW__base,0.0032021324,PERMITW,Housing,base
USGOVT__rollmean24,0.0031346912,USGOVT,Labor Market,rolling_stat
INDPRO__base,0.0030935796,INDPRO,Output and Income,base
IPBUSEQ__base,0.0030782274,IPBUSEQ,Output and Income,base
PERMITS__base,0.0030595188,PERMITS,Housing,base
TB3MS__rollmean12,0.0028805751,TB3MS,Interest and Exchange Rates,rolling_stat
USTPU__base,0.0028553163,USTPU,Labor Market,base
MANEMP__rollz24,0.0028295731,MANEMP,Labor Market,rolling_stat
USWTRADE__mom6,0.0027975899,USWTRADE,Labor Market,momentum
CUMFNS__mom3,0.0027674478,CUMFNS,Output and Income,momentum
USFIRE__base,0.0026849746,USFIRE,Labor Market,base
HOUST__drawdown36,0.0026390867,HOUST,Housing,drawdown
