max_depth,min_samples_split,min_samples_leaf,mean_cv_score
3,2,1,0.16071428571428573
3,2,5,0.16071428571428573
3,2,10,0.16071428571428573
3,5,1,0.16071428571428573
3,5,5,0.16071428571428573
3,5,10,0.16071428571428573
3,10,1,0.16071428571428573
3,10,5,0.16071428571428573
3,10,10,0.16071428571428573
5,2,1,0.16071428571428573
5,2,5,0.16071428571428573
5,2,10,0.16071428571428573
5,5,1,0.16071428571428573
5,5,5,0.16071428571428573
5,5,10,0.16071428571428573
5,10,1,0.16071428571428573
5,10,5,0.16071428571428573
5,10,10,0.16071428571428573
8,2,1,0.16071428571428573
8,2,5,0.16071428571428573
8,2,10,0.16071428571428573
8,5,1,0.16071428571428573
8,5,5,0.16071428571428573
8,5,10,0.16071428571428573
8,10,1,0.16071428571428573
8,10,5,0.16071428571428573
8,10,10,0.16071428571428573
10,2,1,0.16071428571428573
10,2,5,0.16071428571428573
10,2,10,0.16071428571428573
10,5,1,0.16071428571428573
10,5,5,0.16071428571428573
10,5,10,0.16071428571428573
10,10,1,0.16071428571428573
10,10,5,0.16071428571428573
10,10,10,0.16071428571428573
