n_estimators,max_depth,min_samples_leaf,mean_cv_score
400,5,1,0.8963945005611672
400,3,1,0.8963945005611672
400,10,1,0.8963945005611672
400,8,1,0.8963945005611672
200,5,1,0.8705908289241624
200,8,1,0.8705908289241624
200,3,1,0.8705908289241624
200,10,1,0.8705908289241624
100,10,1,0.7974426807760142
100,8,1,0.7974426807760142
100,5,1,0.7974426807760142
100,3,1,0.7974426807760142
100,5,5,0.6373336540003207
100,3,5,0.6373336540003207
100,8,5,0.6373336540003207
100,10,5,0.6373336540003207
200,10,5,0.6305996472663139
200,8,5,0.6305996472663139
200,3,5,0.6305996472663139
200,5,5,0.6305996472663139
400,5,5,0.6232856105405125
400,10,5,0.6232856105405125
400,3,5,0.6232856105405125
400,8,5,0.6232856105405125
200,10,10,0.4903524942740629
200,3,10,0.4903524942740629
200,8,10,0.4903524942740629
200,5,10,0.4903524942740629
100,3,10,0.4834215167548501
100,8,10,0.4834215167548501
100,10,10,0.4834215167548501
100,5,10,0.4834215167548501
400,3,10,0.46636660362150556
400,5,10,0.46636660362150556
400,8,10,0.46636660362150556
400,10,10,0.46636660362150556
