max_depth,n_estimators,learning_rate,mean_cv_score
5,400,0.1,0.8397807439474108
3,400,0.1,0.8397807439474108
8,400,0.1,0.8397807439474108
3,100,0.1,0.8311387686387688
8,100,0.1,0.8311387686387688
3,200,0.1,0.8311387686387688
5,200,0.1,0.8311387686387688
8,200,0.1,0.8311387686387688
5,100,0.1,0.8311387686387688
3,100,0.05,0.8009700176366843
8,100,0.05,0.8009700176366843
5,100,0.05,0.8009700176366843
3,200,0.05,0.6301639174188194
3,400,0.05,0.6301639174188194
5,200,0.05,0.6301639174188194
5,400,0.05,0.6301639174188194
8,200,0.05,0.6301639174188194
8,400,0.05,0.6301639174188194
