feature,source_series,group,feat_type
RPI__base,RPI,Output and Income,base
W875RX1__base,W875RX1,Output and Income,base
INDPRO__base,INDPRO,Output and Income,base
IPFPNSS__base,IPFPNSS,Output and Income,base
IPFINAL__base,IPFINAL,Output and Income,base
IPCONGD__base,IPCONGD,Output and Income,base
IPDCONGD__base,IPDCONGD,Output and Income,base
IPNCONGD__base,IPNCONGD,Output and Income,base
IPBUSEQ__base,IPBUSEQ,Output and Income,base
IPMAT__base,IPMAT,Output and Income,base
IPDMAT__base,IPDMAT,Output and Income,base
IPNMAT__base,IPNMAT,Output and Income,base
IPMANSICS__base,IPMANSICS,Output and Income,base
IPB51222S__base,IPB51222S,Output and Income,base
IPFUELS__base,IPFUELS,Output and Income,base
CUMFNS__base,CUMFNS,Output and Income,base
CLF16OV__base,CLF16OV,Labor Market,base
CE16OV__base,CE16OV,Labor Market,base
UNRATE__base,UNRATE,Labor Market,base
UEMPMEAN__base,UEMPMEAN,Labor Market,base
UEMPLT5__base,UEMPLT5,Labor Market,base
UEMP5TO14__base,UEMP5TO14,Labor Market,base
UEMP15OV__base,UEMP15OV,Labor Market,base
UEMP15T26__base,UEMP15T26,Labor Market,base
UEMP27OV__base,UEMP27OV,Labor Market,base
PAYEMS__base,PAYEMS,Labor Market,base
USGOOD__base,USGOOD,Labor Market,base
CES1021000001__base,CES1021000001,Labor Market,base
USCONS__base,USCONS,Labor Market,base
MANEMP__base,MANEMP,Labor Market,base
DMANEMP__base,DMANEMP,Labor Market,base
NDMANEMP__base,NDMANEMP,Labor Market,base
SRVPRD__base,SRVPRD,Labor Market,base
USTPU__base,USTPU,Labor Market,base
USWTRADE__base,USWTRADE,Labor Market,base
USTRADE__base,USTRADE,Labor Market,base
USFIRE__base,USFIRE,Labor Market,base
USGOVT__base,USGOVT,Labor Market,base
CES0600000007__base,CES0600000007,Labor Market,base
AWOTMAN__base,AWOTMAN,Labor Market,base
AWHMAN__base,AWHMAN,Labor Market,base
HOUST__base,HOUST,Housing,base
HOUSTNE__base,HOUSTNE,Housing,base
HOUSTMW__base,HOUSTMW,Housing,base
HOUSTS__base,HOUSTS,Housing,base
HOUSTW__base,HOUSTW,Housing,base
PERMIT__base,PERMIT,Housing,base
PERMITNE__base,PERMITNE,Housing,base
PERMITMW__base,PERMITMW,Housing,base
PERMITS__base,PERMITS,Housing,base
PERMITW__base,PERMITW,Housing,base
DPCERA3M086SBEA__base,DPCERA3M086SBEA,"Consumption, Orders and Inventories",base
M1SL__base,M1SL,Money and Credit,base
M2SL__base,M2SL,Money and Credit,base
M2REAL__base,M2REAL,Money and Credit,base
TOTRESNS__base,TOTRESNS,Money and Credit,base
NONBORRES__base,NONBORRES,Money and Credit,base
BUSLOANS__base,BUSLOANS,Money and Credit,base
REALLN__base,REALLN,Money and Credit,base
NONREVSL__base,NONREVSL,Money and Credit,base
DTCOLNVHFNM__base,DTCOLNVHFNM,Money and Credit,base
DTCTHFNM__base,DTCTHFNM,Money and Credit,base
INVEST__base,INVEST,Money and Credit,base
FEDFUNDS__base,FEDFUNDS,Interest and Exchange Rates,base
TB3MS__base,TB3MS,Interest and Exchange Rates,base
TB6MS__base,TB6MS,Interest and Exchange Rates,base
GS1__base,GS1,Interest and Exchange Rates,base
GS5__base,GS5,Interest and Exchange Rates,base
GS10__base,GS10,Interest and Exchange Rates,base
AAA__base,AAA,Interest and Exchange Rates,base
BAA__base,BAA,Interest and Exchange Rates,base
WPSFD49207__base,WPSFD49207,Prices,base
WPSFD49502__base,WPSFD49502,Prices,base
WPSID61__base,WPSID61,Prices,base
WPSID62__base,WPSID62,Prices,base
OILPRICEx__base,OILPRICEx,Prices,base
PPICMM__base,PPICMM,Prices,base
CPIAUCSL__base,CPIAUCSL,Prices,base
CPIAPPSL__base,CPIAPPSL,Prices,base
CPITRNSL__base,CPITRNSL,Prices,base
CPIMEDSL__base,CPIMEDSL,Prices,base
CUSR0000SAC__base,CUSR0000SAC,Prices,base
CUUR0000SAD__base,CUUR0000SAD,Prices,base
CUSR0000SAS__base,CUSR0000SAS,Prices,base
CPIULFSL__base,CPIULFSL,Prices,base
CUUR0000SA0L2__base,CUUR0000SA0L2,Prices,base
CUSR0000SA0L5__base,CUSR0000SA0L5,Prices,base
PCEPI__base,PCEPI,Prices,base
DDURRG3M086SBEA__base,DDURRG3M086SBEA,Prices,base
DNDGRG3M086SBEA__base,DNDGRG3M086SBEA,Prices,base
DSERRG3M086SBEA__base,DSERRG3M086SBEA,Prices,base
CES0600000008__base,CES0600000008,Prices,base
CES2000000008__base,CES2000000008,Prices,base
CES3000000008__base,CES3000000008,Prices,base
CONSPI__base,CONSPI,Money and Credit,base
TB3SMFFM__base,TB3SMFFM,Interest and Exchange Rates,base
TB6SMFFM__base,TB6SMFFM,Interest and Exchange Rates,base
T1YFFM__base,T1YFFM,Interest and Exchange Rates,base
T5YFFM__base,T5YFFM,Interest and Exchange Rates,base
T10YFFM__base,T10YFFM,Interest and Exchange Rates,base
AAAFFM__base,AAAFFM,Interest and Exchange Rates,base
BAAFFM__base,BAAFFM,Interest and Exchange Rates,base
SP500__base,SP500,Stock Market,base
RPI__lag1,RPI,Output and Income,lag
RPI__lag3,RPI,Output and Income,lag
RPI__lag6,RPI,Output and Income,lag
RPI__lag9,RPI,Output and Income,lag
RPI__lag12,RPI,Output and Income,lag
W875RX1__lag1,W875RX1,Output and Income,lag
W875RX1__lag3,W875RX1,Output and Income,lag
W875RX1__lag6,W875RX1,Output and Income,lag
W875RX1__lag9,W875RX1,Output and Income,lag
W875RX1__lag12,W875RX1,Output and Income,lag
INDPRO__lag1,INDPRO,Output and Income,lag
INDPRO__lag3,INDPRO,Output and Income,lag
INDPRO__lag6,INDPRO,Output and Income,lag
INDPRO__lag9,INDPRO,Output and Income,lag
INDPRO__lag12,INDPRO,Output and Income,lag
IPFPNSS__lag1,IPFPNSS,Output and Income,lag
IPFPNSS__lag3,IPFPNSS,Output and Income,lag
IPFPNSS__lag6,IPFPNSS,Output and Income,lag
IPFPNSS__lag9,IPFPNSS,Output and Income,lag
