n_estimators,max_depth,min_samples_leaf,mean_cv_score
100,3,10,0.6666666666666666
100,10,10,0.6666666666666666
100,8,10,0.6666666666666666
100,5,10,0.6666666666666666
400,5,10,0.6666666666666666
400,8,10,0.6666666666666666
400,10,10,0.6666666666666666
200,3,10,0.6666666666666666
200,5,10,0.6666666666666666
400,3,10,0.6666666666666666
200,10,10,0.6666666666666666
200,8,10,0.6666666666666666
400,10,5,0.5
400,8,5,0.5
100,3,5,0.5
400,5,5,0.5
400,3,5,0.5
100,8,5,0.5
100,10,5,0.5
100,5,5,0.5
200,3,5,0.2857142857142857
200,5,5,0.2857142857142857
200,10,5,0.2857142857142857
200,8,5,0.2857142857142857
100,5,1,0.0
100,3,1,0.0
100,8,1,0.0
100,10,1,0.0
200,8,1,0.0
200,5,1,0.0
200,3,1,0.0
200,10,1,0.0
400,5,1,0.0
400,3,1,0.0
400,8,1,0.0
400,10,1,0.0
