max_depth,n_estimators,learning_rate,mean_cv_score
5,400,0.05,0.3076923076923077
3,400,0.05,0.3076923076923077
8,400,0.05,0.3076923076923077
3,100,0.05,0.26666666666666666
3,100,0.1,0.26666666666666666
3,200,0.05,0.26666666666666666
5,100,0.05,0.26666666666666666
5,100,0.1,0.26666666666666666
3,200,0.1,0.26666666666666666
3,400,0.1,0.26666666666666666
5,200,0.1,0.26666666666666666
5,200,0.05,0.26666666666666666
8,100,0.05,0.26666666666666666
5,400,0.1,0.26666666666666666
8,100,0.1,0.26666666666666666
8,200,0.05,0.26666666666666666
8,200,0.1,0.26666666666666666
8,400,0.1,0.26666666666666666
